Operation,LMUL,Time_ms,Speedup_vs_m1,Efficiency_percent,Speedup_vs_scalar,Throughput_MPix_per_sec
Image Addition,m1,0.538,1.00,100.0,17.16,487.2
Image Addition,m2,0.374,1.44,71.9,24.68,701.3
Image Addition,m4,0.292,1.84,46.0,31.60,898.6
Image Addition,m8,0.251,2.14,26.8,36.75,1044.6
Horizontal Flip,m1,1.810,1.00,100.0,1.04,144.8
Horizontal Flip,m2,1.532,1.18,59.1,1.22,171.1
Horizontal Flip,m4,1.392,1.30,32.5,1.35,188.2
Horizontal Flip,m8,1.323,1.37,17.1,1.42,198.0
Vertical Flip,m1,0.435,1.00,100.0,4.61,602.3
Vertical Flip,m2,0.320,1.36,67.9,6.26,819.2
Vertical Flip,m4,0.263,1.65,41.4,7.62,996.2
Vertical Flip,m8,0.234,1.86,23.2,8.55,1119.7
Gaussian Filter,m1,1.182,1.00,100.0,NA,221.7
Gaussian Filter,m2,0.774,1.53,76.3,NA,338.5
Gaussian Filter,m4,0.570,2.07,51.8,NA,459.6
Gaussian Filter,m8,0.468,2.52,31.6,NA,559.7
Box Filter,m1,1.101,1.00,100.0,NA,238.2
Box Filter,m2,0.734,1.50,75.0,NA,357.4
Box Filter,m4,0.550,2.00,50.0,NA,476.7
Box Filter,m8,0.458,2.40,30.0,NA,572.2 